location_id,name,address_obj.city,address_obj.state
23495914,Rezydencja Sowa,Bydgoszcz,Kuyavia-Pomerania Province
3595685,Apartments Dream of Bydgoszcz,Bydgoszcz,Kuyavia-Pomerania Province
19896334,Apartamenty Sowa Bydgoszcz,Bydgoszcz,Kuyavia-Pomerania Province
5323609,Noclegi Bydgoszcz - Centrum Onkologii,Bydgoszcz,Kuyavia-Pomerania Province
17338497,The Bridge Wroclaw MGallery,Wroclaw,Lower Silesia Province
2082637,PURO Wroclaw Stare Miasto,Wroclaw,Lower Silesia Province
277626,Novotel Wroclaw Centrum,Wroclaw,Lower Silesia Province
277622,Scandic Wroclaw,Wroclaw,Lower Silesia Province
10267423,DoubleTree by Hilton Wroclaw,Wroclaw,Lower Silesia Province
277623,Hotel Mercure Wroclaw Centrum,Wroclaw,Lower Silesia Province
277624,Novotel Wroclaw City,Wroclaw,Lower Silesia Province
12553141,Ac Hotel Wroclaw,Wroclaw,Lower Silesia Province
9763242,ibis Wroclaw Centrum,Wroclaw,Lower Silesia Province
284634,Qubus Hotel Wroclaw,Wroclaw,Lower Silesia Province
4011143,Hotel Great Polonia Velvet Suwalki,Suwalki,Podlaskie Province
10782794,Suwalki Centrum Pokoje,Suwalki,Podlaskie Province
8387269,Hotel Loft 1898,Suwalki,Podlaskie Province
4557505,Hancza Hotel,Suwalki,Podlaskie Province
4932574,Akvilon Hotel,Suwalki,Podlaskie Province
5521691,Hotel Szyszko,Suwalki,Podlaskie Province
2489753,Folwark Hutta,Suwalki,Podlaskie Province
1776883,Gosciniec Jaczno,Suwalki,Podlaskie Province
4579828,Hotel Nad Wigrami,Suwalki,Podlaskie Province
3485588,Logos Hotel,Suwalki,Podlaskie Province
20088530,Bachleda Resort Zakopane,Zakopane,Lesser Poland Province
17165609,"Radisson Blu Hotel & Residences, Zakopane",Zakopane,Lesser Poland Province
9808341,Hotel Logos Zakopane,Zakopane,Lesser Poland Province
7332037,Aries Hotel & Spa Zakopane,Zakopane,Lesser Poland Province
277663,Bachleda Hotel Kasprowy,Zakopane,Lesser Poland Province
1743726,Apartamenty ApartArt Zakopane,Zakopane,Lesser Poland Province
12000203,VILLA NOSAL - Zakopane,Zakopane,Lesser Poland Province
21164553,APARTHOTEL ROYAL RESORT SPA Zakopane,Zakopane,Lesser Poland Province
505389,Hotel Gromada Zakopane,Zakopane,Lesser Poland Province
8704659,Lipowy Dwor Zakopane,Zakopane,Lesser Poland Province
17634606,Hampton By Hilton Kalisz,Kalisz,Greater Poland Province
3645102,Hotel Villa Stary Kalisz,Kalisz,Greater Poland Province
17649381,Metropolis Apartamenty Kalisz Centrum,Kalisz,Greater Poland Province
23256665,Apartament Kalisz,Kalisz,Greater Poland Province
624748,Hotel Europa,Kalisz,Greater Poland Province
7625450,Komoda Club Residence,Kalisz,Greater Poland Province
1757360,Hotel Calisia,Kalisz,Greater Poland Province
10749305,Lantaarn Pension,Kalisz Pomorski,Western Pomerania Province
1735518,Hotel Seven,Kalisz,Greater Poland Province
2453154,Solaris Lupus,Kalisz Pomorski,Western Pomerania Province
1729285,Nad Pisa,Pisz,Warmia-Masuria Province
2482444,Hotel Joseph Conrad,Pisz,Warmia-Masuria Province
6523226,Zlota Lania Wiartel Resort & SPA,Pisz,Warmia-Masuria Province
2160071,Hotel Ros,Pisz,Warmia-Masuria Province
1507917,Kaliszki Manor,Pisz,Warmia-Masuria Province
11622060,Wrota Mazur,Pisz,Warmia-Masuria Province
7103076,Zajazd Wiejski,Pisz,Warmia-Masuria Province
7092317,Karwik 122,Pisz,Warmia-Masuria Province
6583918,Galindia Refugia,Pisz,Warmia-Masuria Province
8342267,Azuria Agroturystyka,Pisz,Warmia-Masuria Province
