id,location_id,published_date,rating,helpful_votes,text,title,trip_type,travel_date,user.username,user.user_location.name,owner_response.title,owner_response.text,owner_response.author,owner_response.published_date,subratings.0.localized_name,subratings.0.value,subratings.1.localized_name,subratings.1.value,subratings.2.localized_name,subratings.2.value,subratings.3.localized_name,subratings.3.value,subratings.4.localized_name,subratings.4.value,subratings.5.localized_name,subratings.5.value
1045624615,1109745,2026-01-10T14:51:30Z,4,0,"They went above and beyond to make the stay great. We booked a room with 2 x twin beds but the room had it made up as a single double.  They gave us a different room to use for the night and switched the bed over early in the AM.  We bought the NYE package and our train arrived 2+hrs late.  They still set up our beer and vodka tasting even tho it was midnight!  Navigating elevators between the two buildings was challenging for my tired brain, but the place was clean and staff was nice.  It's a bit of a walk from the train station (especially carrying luggage, in the snow...) but doable.  If in a rush, recommend a Bolt.",Went above and beyond,Friends getaway,2025-12-31,jenandallthethings,,Owner response,"Dear Jen, 

thank you so much for sharing such a detailed and kind review of your stay. We are truly happy to read that our team was able to go above and beyond to make your visit enjoyable, especially in a situation that was not entirely smooth from the start.

We are glad that we could quickly find a solution regarding the bed setup and that the alternative room for the first night worked well for you. It is also great to hear that despite your late arrival, we were still able to prepare the beer and vodka tasting for you – we wanted your New Year’s Eve experience to be special, no matter the hour.

Thank you as well for your understanding regarding the layout of the hotel and the elevators between the two buildings. We appreciate your comments and are pleased that you found the hotel clean and the staff helpful and friendly.

We hope that despite the long journey and snowy walk, your stay in Gdańsk and at our hotel will be remembered very fondly, and we would love to welcome you again in the future.

Kind regards,
Hotel Gdańsk Team",Klaudia Gdańsk,2026-01-14T04:30:14Z,Rooms,5.0,Location,5.0,Cleanliness,5.0,,,,,,
1041318773,1109745,2025-12-04T09:22:36Z,5,0,"Superb hotel in the heart of Gdansk. On our arrival out room was still being cleaned but the helpful receptionist offered us a beautiful room on the fourth floor of the converted granary which was built in 1690.
We enjoyed a pleasant afternoon in the micro brewery/restaurant attached to the hotel. Super attentive barman Konrad advised us on the food and drink selections which were first class.
The Breakfast in the first floor restaurant was one of the best I have had with a huge selection of hot and cold dishes.
The hotel was close to all the major attractions, bars and restaurants etc,so there was no need for taxis.
Would thoroughly recommend Hotel Gdansk Boutique and the whole Gdansk experience.",Wonderful winter break,Couples,2025-12-31,garysK6666WU,"Newtownards, County Down, Northern Ireland",Owner response,"Dear Gary, 

Thank you so much for sharing such a wonderful and detailed review of your winter stay with us.

We are delighted that you enjoyed the unique charm of our historic granary building and that the room upgrade on arrival contributed positively to your experience. It is also fantastic to hear how much you appreciated the atmosphere in our microbrewery restaurant — we will gladly pass your kind words on to Konrad, who will be thrilled to know he helped make your afternoon memorable.

Your compliments regarding our breakfast selection truly mean a lot to us, as we take great pride in offering a rich and varied start to the day. We are equally pleased that our central location made exploring Gdańsk so convenient and enjoyable for you.

Thank you for your warm recommendation — it is the highest reward we could hope for. We would be delighted to welcome you back again whenever your travels bring you to Gdańsk.

Kind regards,
Hotel Gdańsk Team",Klaudia Gdańsk,2025-12-08T05:38:11Z,Value,5.0,Rooms,5.0,Location,5.0,Cleanliness,5.0,Service,5.0,Sleep Quality,5.0
1034978965,1109745,2025-10-15T14:13:11Z,5,0,"We visited Gdansk and stayed at the hotel Gdansk boutique hotel on our 10 year anniversary and it was brilliant! We had an early flight and the staff were so helpful and managed to check us in early as room was available already. We stayed in the yachting section which is 4* and our room was lovely and clean with a big bed and bath as well! We tried breakfast once and it was nice with a lot of selection, although we would say the fried eggs and some other hot items were cold. The spa was included with a steam room and saunas to relax in which were easily bookable at reception, this was included in our stay. The location was perfect being right by one of the harbours in old town and everything was an easy walk away.",Perfect couples city break,Couples,2025-10-31,sarahcD5668PS,,Owner response,"Dear Sarah,

Thank you very much for sharing such a lovely and detailed review of your stay at Hotel Gdańsk. We’re truly delighted that you chose to celebrate your 10th anniversary with us and that your experience was memorable from start to finish.

It’s wonderful to hear that you appreciated our convenient location, the comfort of your room in the Yachting section, and the relaxing atmosphere of the spa. We also thank you for your valuable remark regarding the breakfast temperature — your feedback has been shared with our kitchen team to ensure continuous improvement.

We hope to have the pleasure of welcoming you and your partner back to Gdańsk for another relaxing and enjoyable stay by the marina.

Kind regards,
Hotel Gdańsk Team",Klaudia Gdańsk,2025-10-21T05:07:27Z,Value,5.0,Rooms,5.0,Location,5.0,Cleanliness,5.0,Service,4.0,Sleep Quality,5.0
1057618357,16830226,2026-04-23T10:41:09Z,5,0,"Positives:
Nice big room with beautiful view 
Great shower 
Comfortable bed 
Omelettes at breakfast and friendly wait staff 
Very good location

Negatives 
No breakfast for free when booked with points
Gym needs more machines for upper body; already has more than enough for lower body",Very Good Stay,Couples,2026-04-30,HubbellGardiner,"New York City, New York",,,,,,,,,,,,,,,,
1053744272,16830226,2026-03-21T12:05:01Z,5,0,"We stayed here this week from Tuesday - Saturday and we really enjoyed our stay, me and my partner come over regularly but this was the first time my parents have visited Poland, this hotel was in the perfect location for sightseeing! We had the breakfast only once as it was an early start and the buffet selection was great!! We’d 100% stay here again",Nice hotel as the heart of Gdansk,Family,2026-03-31,owendavidson1998,"Stonehaven, Aberdeenshire, Scotland",,,,,,,,,,,,,,,,
1052585371,16830226,2026-03-10T12:00:47Z,5,0,"Very nice hotel, delicious and various breakfast, fantastic lokation, clean and moderne room, friendly staff. It was an excellent stay.",Excellent hotel,Couples,2026-03-31,anyuta20,"Maribo, Lolland, South Zealand, Zealand",,,,,,,,,,,,,,,,
1049365095,275085,2026-02-11T21:07:01Z,5,1,"My stay at the Grand Sopot was nothing short of spectacular. The architecture is breathtaking, and you can feel the history the moment you walk in. We stayed in a Sea View Room, which I highly recommend for the stunning, panoramic views of the Baltic Sea.

The service was impeccable from start to finish. The staff at the front desk were incredibly professional, and concierge went above and beyond to arrange dinner reservations. We spent our mornings enjoying the delicious, extensive breakfast buffet, and our afternoons relaxing in the spa.

Its location is simply unbeatable - right on the beach, yet just a short, pleasant walk to the pier and city center. Look out for the elegant swans! The room was immaculate and very comfortable. It is truly a 5-star experience, and I cannot wait to return!",Unforgettable Luxury and History by the Baltic - TREAT YOURSELF!,Family,2026-02-28,celinehospitality,"West Kelowna, Okanagan Valley, British Columbia",Owner response,"Dear Guest,
Thank you so much for your wonderful and detailed review. We are absolutely delighted to read that your stay at the Grand Sopot was nothing short of spectacular.
It means a great deal to us that you appreciated the historic character of our hotel and the breathtaking architecture that makes the Grand so unique. We are especially pleased that you enjoyed your Sea View Room. The panoramic views of the Baltic Sea truly are something special, and we’re glad they helped make your stay unforgettable.
Your kind words about our team are deeply appreciated. Providing impeccable service is at the heart of what we do, and it is rewarding to know that our front desk and concierge colleagues helped create such a seamless and memorable experience. We will be sure to share your compliments with them.
We’re also delighted that you enjoyed our breakfast buffet, spa facilities, and of course our exceptional location by the beach and close to the pier and city center. And yes – the swans are some of our most elegant regular visitors!
Thank you once again for your heartfelt recommendation. It was a pleasure to host you, and we very much look forward to welcoming you back for another 5-star experience by the Baltic.
Warm regards,
Karolina Polaska Patinho
Guest Relations Manager",karolina polaska,2026-02-17T09:38:44Z,Value,5.0,Rooms,5.0,Location,5.0,Cleanliness,5.0,Service,5.0,Sleep Quality,5.0
1041847273,275085,2025-12-08T16:51:21Z,4,0,"I got a nice welcome from Klaudia who said she had upgraded my suite to one with a balcony, however the balcony was so tiny you could only stand on it. The suite was not at all luxurious unlike the suites in the Sofitel Victoria in Warsaw and in Dubai. There was a wooden floor, a couch against the wall with no footstool or ottoman to put your feet up and it was behind the TV which was facing the bed. The minibar needed to be defrosted. There was a desk against another wall near the bed which was on a rug and it was the only place that had any sockets, there were none by the bed or the couch. There was a large empty space with a built-in wardrobe, a table and 3 chairs. I was pleased to find a welcome note with some macarons and chocolates on a small tray. The bathroom off this space had a walk-in shower and a bathtub. The whole suite seemed very sparse and basic. Even worse was the swimming pool which was nothing like what you see in the photo on their site and that was a major disappointment. It was in a dark corner and only about 15 metres long, I could barely do 4 full strokes of crawl. The gym wasn't much better. You would think in a place this size that they would have a 25 metre pool and a decent gym. In the evening I went to the huge bar next to reception. The restaurant was on the other side by the window. The furniture was very old and not that comfortable. I sat on a couch and got a Pornstar Martini from the barman Stefan with my free drink voucher that I got as a Platinum Accor member. After that I ordered a bottle of wine with some deep-fried cheese sticks and then a slice of cheesecake which was good. A female violinist and male guitarist/singer arrived and I enjoyed listening to some Polish music. Stefan and the waiter Lukasz identified some of the songs for me. Thanks to them, I had a nice evening despite the cold air coming in every time someone came in the front entrance. On Sunday night I sat in the same place and there was a male pianist but the music wasn't very interesting. Stefan made me a Pornstar Martini and Lukasz brought it over with lots of the crackers he knew I liked. I was a bit surprised when three men arrived in bathrobes and sat at the bar. They came back later in the evening with their clothes on. I ordered a bottle of wine and got a Caesar's salad with prawns from a friendly waiter called Mikolaj. I had a chat with Natalia at reception. Her colleague Anna had kindly given me a late checkout earlier on. I had a nice stay mainly because of the evenings spent in the bar but the hotel is in urgent need of renovation. I would be more than happy to stay here again if they manage to transform it into a true 5 star hotel.",Nice hotel but old and the swimming pool was a big disappointment,Solo travel,2025-11-30,MargaretinParis,,,,,,Value,3.0,Rooms,2.0,Location,5.0,Cleanliness,5.0,Service,5.0,Sleep Quality,4.0
1039714948,275085,2025-11-20T10:36:28Z,5,0,"If you’re looking for a hotel with real soul, the Sofitel Grand Sopot has it in spades. Walking up to this Grand Old Lady, you can feel the history settle around you right away. She’s elegant, she’s storied, and she’s definitely earned a few character lines, and I mean that in the best way. The fun part is knowing she’s about to get a serious facelift, inside and out, and you can almost feel the anticipation.

What absolutely made the stay unforgettable was the staff. Everyone I met seemed genuinely proud to be part of the place, and it shows. I have to call out Lukas, who was just exceptional. He brings so much warmth and professionalism that you instantly feel welcome. If the hotel itself has heart, he’s part of the reason.

Being there feels like stepping into a little pocket of Sopot’s history. The building, the atmosphere, the details, it all draws you in.

There’s also a historical tour that isn’t widely advertised. If you’re lucky enough to catch it, especially if you love history, don’t miss it. The hotel has seen some extraordinary moments, including visits from figures connected to the lead-up to WWII. Standing in the same spaces gives the whole stay another layer of meaning.

As for what I didn’t like? Honestly, nothing. Any small imperfections felt like they belonged to the story of the place, not flaws.

If you appreciate history, character, and truly excellent service, this hotel really delivers.",Grand Ole Lady Still Knows How to Flirt!,Solo travel,2025-11-30,LagunaGypsy,"Vail, Colorado",Owner response,"Dear LagunaGypsy,

Thank you for sharing your delightful experience at Sofitel Grand Sopot. We are thrilled to hear that our hotel’s rich history and elegant ambiance resonated with you, and that you felt the warmth and professionalism of our dedicated staff.

We appreciate your mention of our historical tour; it is indeed a unique feature that we are proud to offer to our guests as a wow factor and a surprise upon stay. We are committed to preserving the character of our establishment while also looking forward to the upcoming renovations that will enhance your experience even further, we just added the new igloo feature to our new winter garden.

Your feedback regarding the imperfections adding to the charm of our Grand Lady is truly valued and we couldn't put it better than you just did. Thank you once again for your kind words, and we hope to welcome you back for another memorable stay in the future at the sea side.

Best regards  
Łukasz Paprocki  
Senior Concierge & Guest Relations  
",karolina polaska,2025-11-21T11:42:58Z,,,,,,,,,,,,
1033400200,275085,2025-10-04T15:57:12Z,5,0,"A grand old hotel in a prime location right on the water. The property exudes historic charm, though the reception area and expansive hallways are in need of some attention — the carpet, for instance, is visibly buckled in several areas and detracts from the otherwise elegant atmosphere.

There’s a small bar just off the lobby leading into the grand dining room. We especially enjoyed relaxing with spritzes on the beautiful grounds that border the beach — a lovely setting for an afternoon break.

We arrived around noon, and reception kindly offered to notify us when our two rooms were ready, which she believed would be ahead of the standard check-in time. Unfortunately, we never received any update, and when we returned later, our keys were simply waiting on the counter.

We had booked Luxury Rooms (seaside view, two single beds combined as a king, no balcony). One room matched the representative photo from our confirmation, but the second was an attic-style room — quite possibly the least appealing room we’ve ever been offered. Thankfully, the staff quickly resolved the issue, upgrading us to a stunning oceanfront room and upgrading our traveling companion as well (also a perk - when available - of using our Travel Advisor).

There is a ""strand"" that parallels the ocean between the hotel and the beach, that was wonderful with restaurants scattered along the way in and around the various beach clubs. The charming Sopot downtown is also a short walk from the hotel, it was a great location for us.

The breakfast buffet was abundant and delicious, offering a wide variety of options. One disappointment, however, was the handling of the $100 credit per room we received through our Travel Advisor. At most hotels, this credit can be applied toward spa services, restaurant, bar, or even the final bill. At the Grand Hotel Sopot, it could only be used in the restaurant or bar — and all at once. Since breakfast was included, we didn’t dine in for lunch, and we preferred to explore local restaurants for dinner. Unfortunately, they had no way to debit the balance gradually (for example, with cocktails), so we ended up using the credit to purchase a $25 USD bottle of vodka for $200 USD — an unnecessarily restrictive policy that left a poor final impression.",Perfect location - serene yet an easy walk/drive from downtown Sopot/Gdansk!,Family,2025-09-30,97carolf,"Menlo Park, California",,,,,,,,,,,,,,,,
